AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2021;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;2340
2021;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2336
2020;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2165
2021;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;1967
2020;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;1633
2021;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1549
2021;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;1504
2019;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;1438
2020;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;1423
2021;6307;Napoli Pegaso - telematica;LMG/01;GIURISPRUDENZA;NAPOLI;63;M;1325
2021;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;1199
2020;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;1140
2020;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;1118
2021;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;M;1108
2019;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1090
2020;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;1082
2021;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;M;1034
2020;6307;Napoli Pegaso - telematica;L-07;Ingegneria Civile;NAPOLI;63;M;1028
2018;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;1020
2020;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;988
2019;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;876
2018;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;868
2020;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;M;865
2019;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;854
2019;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;846
2021;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;F;824
2021;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;F;773
2018;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;767
2021;6307;Napoli Pegaso - telematica;L-07;Ingegneria Civile;NAPOLI;63;M;759
2021;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;F;748
2018;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;F;737
2019;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;706
2020;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;F;706
2019;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;694
2018;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;683
2021;1601;Bergamo;L-19;Scienze dell'Educazione;BERGAMO;16;F;652
2019;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;F;649
2021;5815;Roma UNICUSANO - telematica;LM-51;Psicologia;ROMA;58;F;645
2020;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;F;616
2021;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;M;607
2020;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;F;604
2021;1301;Novedrate e-Campus - telematica;L-22;Scienze delle Attivita' Motorie e Sportive;NOVEDRATE;13;M;593
2020;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;M;590
2020;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;M;589
2019;5801;Roma La Sapienza;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ROMA;58;F;586
2021;102;Torino Politecnico;L-09;Ingegneria Meccanica;TORINO;1;M;581
2020;3701;Bologna;LMG/01;Giurisprudenza;BOLOGNA;37;F;579
2021;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;M;578
2019;102;Torino Politecnico;L-09;Ingegneria Meccanica;TORINO;1;M;576
2019;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;M;576
2020;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;F;568
2020;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;M;567
2021;1502;Milano Politecnico;LM-31;Management Engineering - Ingegneria Gestionale;MILANO;15;M;565
2021;2701;Venezia Cà Foscari;L-11;Lingue, Civiltà e Scienze del Linguaggio;VENEZIA;27;F;563
2021;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;F;561
2021;6307;Napoli Pegaso - telematica;LM-26;Ingegneria della Sicurezza;NAPOLI;63;M;561
2020;101;Torino;L-18;Economia Aziendale;TORINO;1;M;559
2019;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;M;558
2021;1301;Novedrate e-Campus - telematica;L-19;Scienze dell'Educazione e della Formazione;NOVEDRATE;13;F;546
2018;3701;Bologna;LMG/01;Giurisprudenza;BOLOGNA;37;F;545
2019;3701;Bologna;LMG/01;Giurisprudenza;BOLOGNA;37;F;544
2021;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;F;543
2021;1502;Milano Politecnico;L-08;Ingegneria Informatica;MILANO;15;M;541
2021;5815;Roma UNICUSANO - telematica;L-18;Economia Aziendale e Management,;ROMA;58;M;538
2019;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;M;537
2018;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;M;535
2018;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;533
2019;6307;Napoli Pegaso - telematica;L-07;Ingegneria Civile;NAPOLI;63;M;525
2020;101;Torino;L-18;Economia Aziendale;TORINO;1;F;525
2020;1504;Milano Cattolica;L-12;Scienze Linguistiche;MILANO;15;F;524
2019;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;F;513
2020;4801;Firenze;L-14;Scienze Giuridiche della Sicurezza;FIRENZE;48;M;512
2020;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;F;511
2021;3701;Bologna;LMG/01;Giurisprudenza;BOLOGNA;37;F;511
2020;102;Torino Politecnico;L-09;Ingegneria Meccanica;TORINO;1;M;510
2019;1501;Milano;L-12;Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale;SESTO SAN GIOVANNI;15;F;509
2018;102;Torino Politecnico;L-09;Ingegneria Meccanica;TORINO;1;M;509
2018;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;M;506
2018;5801;Roma La Sapienza;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ROMA;58;F;498
2021;5805;Roma LUISS;L-18;Economia e Management;ROMA;58;M;495
2021;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;F;491
2021;5815;Roma UNICUSANO - telematica;LMG/01;Giurisprudenza;ROMA;58;M;490
2021;101;Torino;L-18;Economia Aziendale;TORINO;1;M;490
2020;5805;Roma LUISS;L-18;Economia e Management;ROMA;58;M;483
2019;1502;Milano Politecnico;LM-31;Management Engineering - Ingegneria Gestionale;MILANO;15;M;482
2018;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;482
2021;6303;Napoli L'Orientale;L-12;Mediazione Linguistica e Culturale;NAPOLI;63;F;472
2018;1504;Milano Cattolica;L-12;Scienze Linguistiche;MILANO;15;F;471
2021;5801;Roma La Sapienza;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ROMA;58;F;469
2018;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;F;465
2021;1504;Milano Cattolica;L-12;Scienze Linguistiche;MILANO;15;F;463
2018;5815;Roma UNICUSANO - telematica;L-18;Economia Aziendale e Management,;ROMA;58;M;458
2020;5801;Roma La Sapienza;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ROMA;58;F;458
2018;1601;Bergamo;L-19;Scienze dell'Educazione;BERGAMO;16;F;457
2021;102;Torino Politecnico;LM-33;Ingegneria Meccanica;TORINO;1;M;457
2021;3801;Ferrara;L-02;Biotecnologie;FERRARA;38;F;457
2018;1502;Milano Politecnico;LM-31;Management Engineering - Ingegneria Gestionale;MILANO;15;M;454
2018;5801;Roma La Sapienza;LMG/01;Giurisprudenza;ROMA;58;F;454
2020;6303;Napoli L'Orientale;L-12;Mediazione Linguistica e Culturale;NAPOLI;63;F;453
2021;4801;Firenze;L-14;Scienze Giuridiche della Sicurezza;FIRENZE;48;M;452
2020;1509;Milano Bicocca;L-19;Scienze dell'Educazione;MILANO;15;F;451
2020;1601;Bergamo;L-19;Scienze dell'Educazione;BERGAMO;16;F;449
2019;5802;Roma Tor Vergata;L-14;Scienze Giuridiche della Sicurezza;ROMA;58;M;448
2018;1502;Milano Politecnico;L-09;Ingegneria Meccanica;MILANO;15;M;446
2021;101;Torino;L-18;Economia Aziendale;TORINO;1;F;444
2021;1301;Novedrate e-Campus - telematica;L-24;Scienze e Tecniche Psicologiche;NOVEDRATE;13;F;444
2018;101;Torino;L-18;Economia Aziendale;TORINO;1;M;443
2019;1601;Bergamo;L-19;Scienze dell'Educazione;BERGAMO;16;F;441
2019;101;Torino;L-18;Economia Aziendale;TORINO;1;M;441
2018;1501;Milano;L-12;Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale;SESTO SAN GIOVANNI;15;F;440
2021;1502;Milano Politecnico;L-09;Ingegneria Meccanica;MILANO;15;M;439
2020;6307;Napoli Pegaso - telematica;LM-26;Ingegneria della Sicurezza;NAPOLI;63;M;438
2020;1502;Milano Politecnico;L-09;Ingegneria Meccanica;MILANO;15;M;438
2020;1501;Milano;L-12;Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale;SESTO SAN GIOVANNI;15;F;438
2018;5815;Roma UNICUSANO - telematica;LMG/01;Giurisprudenza;ROMA;58;M;437
2020;1502;Milano Politecnico;LM-31;Management Engineering - Ingegneria Gestionale;MILANO;15;M;436
2018;1509;Milano Bicocca;L-19;Scienze dell'Educazione;MILANO;15;F;435
2019;6307;Napoli Pegaso - telematica;LM-26;Ingegneria della Sicurezza;NAPOLI;63;M;434
2018;1501;Milano;LMG/01;Giurisprudenza;MILANO;15;F;431
2020;1501;Milano;LMG/01;Giurisprudenza;MILANO;15;F;430
2019;6303;Napoli L'Orientale;L-12;Mediazione Linguistica e Culturale;NAPOLI;63;F;429
2019;1501;Milano;LMG/01;Giurisprudenza;MILANO;15;F;427
2018;6307;Napoli Pegaso - telematica;L-07;Ingegneria Civile;NAPOLI;63;M;425
2019;4801;Firenze;L-19;Scienze dell'Educazione e della Formazione;FIRENZE;48;F;425
2021;6304;Napoli Benincasa;L-19;Scienze dell'Educazione;NAPOLI;63;F;425
2020;1502;Milano Politecnico;L-08;Ingegneria Informatica;MILANO;15;M;424
2021;1509;Milano Bicocca;L-19;Scienze dell'Educazione;MILANO;15;F;423
2018;6901;Chieti e Pescara;L-24;Laurea in Scienze e Tecniche Psicologiche;CHIETI;69;F;421
2021;102;Torino Politecnico;LM-31;Ingegneria Gestionale;TORINO;1;M;420
2021;102;Torino Politecnico;L-08;Ingegneria Informatica;TORINO;1;M;419
2020;2301;Verona;L-12;Lingue e Culture per il Turismo e il Commercio Internazionale;VERONA;23;F;417
2019;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;F;415
2019;1509;Milano Bicocca;L-19;Scienze dell'Educazione;MILANO;15;F;414
2019;5805;Roma LUISS;L-18;Economia e Management;ROMA;58;M;412
2021;1301;Novedrate e-Campus - telematica;L-33;Economia;NOVEDRATE;13;M;412
2021;1505;Milano IULM;L-20;Relazioni Pubbliche e Comunicazione d'Impresa;MILANO;15;F;411
2021;6601;L'Aquila;L-14;Operatore Giuridico d'Impresa;L'AQUILA;66;M;410
2018;1502;Milano Politecnico;LM-04;Architettura;MILANO;15;F;409
2021;1501;Milano;LMG/01;Giurisprudenza;MILANO;15;F;406
2020;6304;Napoli Benincasa;L-19;Scienze dell'Educazione;NAPOLI;63;F;405
2019;1504;Milano Cattolica;L-12;Scienze Linguistiche;MILANO;15;F;405
2018;1504;Milano Cattolica;L-18;Economia e Gestione Aziendale;MILANO;15;F;403
2021;2301;Verona;L-12;Lingue e Culture per il Turismo e il Commercio Internazionale;VERONA;23;F;403
2018;5807;Roma Tre;L-19;Scienze dell'Educazione;ROMA;58;F;401
2019;2301;Verona;L-12;Lingue e Culture per il Turismo e il Commercio Internazionale;VERONA;23;F;401
2020;101;Torino;L-12;Scienze della Mediazione Linguistica;TORINO;1;F;401
2019;5814;Roma  Mercatorum - telematica;L-18;Gestione di Impresa;ROMA;58;M;400
2019;1601;Bergamo;L-11;Lingue e Letterature Straniere Moderne;BERGAMO;16;F;400
2019;1502;Milano Politecnico;L-09;Ingegneria Meccanica;MILANO;15;M;398
2019;1502;Milano Politecnico;L-08;Ingegneria Informatica;MILANO;15;M;398
2019;101;Torino;L-18;Economia Aziendale;TORINO;1;F;397
2018;6303;Napoli L'Orientale;L-12;Mediazione Linguistica e Culturale;NAPOLI;63;F;395
2020;102;Torino Politecnico;L-08;Ingegneria Informatica;TORINO;1;M;392
2018;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;M;391
2021;5815;Roma UNICUSANO - telematica;L-24;Scienze e Tecniche Psicologiche;ROMA;58;F;391
2021;6901;Chieti e Pescara;L-24;Scienze e Tecniche Psicologiche;CHIETI;69;F;390
2019;5807;Roma Tre;L-19;Scienze dell'Educazione;ROMA;58;F;389
2021;3701;Bologna;L-20;Scienze della Comunicazione;BOLOGNA;37;F;388
2018;101;Torino;L-18;Economia Aziendale;TORINO;1;F;386
2019;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;F;383
2021;1501;Milano;L-12;Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale;SESTO SAN GIOVANNI;15;F;383
2018;1601;Bergamo;L-11;Lingue e Letterature Straniere Moderne;BERGAMO;16;F;379
2019;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;F;379
2019;102;Torino Politecnico;L-08;Ingegneria Informatica;TORINO;1;M;372
2019;2701;Venezia Cà Foscari;L-11;Lingue, Civilta e Scienze del Linguaggio;VENEZIA;27;F;370
2018;5805;Roma LUISS;L-18;Economia e Management;ROMA;58;M;370
2018;2301;Verona;L-12;Lingue e Culture per il Turismo e il Commercio Internazionale;VERONA;23;F;369
2018;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;F;369
2019;6601;L'Aquila;L-14;Operatore Giuridico d'Impresa;L'AQUILA;66;M;367
2020;1505;Milano IULM;L-20;Relazioni Pubbliche e Comunicazione d'Impresa;MILANO;15;F;366
2018;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;M;366
2018;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;366
2020;1601;Bergamo;L-11;Lingue e Letterature Straniere Moderne;BERGAMO;16;F;363
2020;1501;Milano;L-11;Lingue e Letterature Straniere;MILANO;15;F;361
2018;5807;Roma Tre;LMG/01;Giurisprudenza;ROMA;58;F;361
2019;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;M;360
2021;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;F;360
2021;5815;Roma UNICUSANO - telematica;L-18;Economia Aziendale e Management,;ROMA;58;F;358
2021;1502;Milano Politecnico;LM-33;Mechanical Engineering - Ingegneria Meccanica;MILANO;15;M;358
2020;1301;Novedrate e-Campus - telematica;L-24;Scienze e Tecniche Psicologiche;NOVEDRATE;13;F;356
2021;5801;Roma La Sapienza;LMG/01;Giurisprudenza;ROMA;58;F;355
2019;1509;Milano Bicocca;L-24;Scienze e Tecniche Psicologiche;MILANO;15;F;353
2021;1301;Novedrate e-Campus - telematica;LM-14;Letteratura, Lingua e Cultura Italiana;NOVEDRATE;13;F;351
2020;6901;Chieti e Pescara;L-24;Scienze e Tecniche Psicologiche;CHIETI;69;F;350
2018;102;Torino Politecnico;L-08;Ingegneria Informatica;TORINO;1;M;350
2020;2701;Venezia Cà Foscari;L-11;Lingue, Civiltà e Scienze del Linguaggio;VENEZIA;27;F;350
2019;5801;Roma La Sapienza;LMG/01;Giurisprudenza;ROMA;58;F;348
2020;1502;Milano Politecnico;L-09;Ingegneria Aerospaziale;MILANO;15;M;347
2018;6304;Napoli Benincasa;L-19;Scienze dell'Educazione;NAPOLI;63;F;346
2019;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;M;345
2018;1509;Milano Bicocca;L-24;Scienze e Tecniche Psicologiche;MILANO;15;F;344
2018;3701;Bologna;LMG/01;Giurisprudenza;BOLOGNA;37;M;343
2021;5801;Roma La Sapienza;L-18;Scienze Aziendali;ROMA;58;M;343
2019;5801;Roma La Sapienza;L-11;Lingue, Culture, Letterature, Traduzione;ROMA;58;F;342
2020;1301;Novedrate e-Campus - telematica;L-19;Scienze dell'Educazione e della Formazione;NOVEDRATE;13;F;341
2020;5801;Roma La Sapienza;LMG/01;Giurisprudenza;ROMA;58;F;341
2021;5801;Roma La Sapienza;L-18;Scienze Aziendali;ROMA;58;F;341
2018;101;Torino;LMG/01;Giurisprudenza;TORINO;1;F;340
2019;1502;Milano Politecnico;LM-04;Architettura;MILANO;15;F;339
2020;4801;Firenze;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);FIRENZE;48;F;339
2020;1509;Milano Bicocca;L-24;Scienze e Tecniche Psicologiche;MILANO;15;F;337
2021;3701;Bologna;L-10;Lettere;BOLOGNA;37;F;337
2020;6601;L'Aquila;L-14;Operatore Giuridico d'Impresa;L'AQUILA;66;M;337
2021;1601;Bergamo;L-11;Lingue e Letterature Straniere Moderne;BERGAMO;16;F;336
2020;6304;Napoli Benincasa;LM-85 bis;Scienze della Formazione Primaria;NAPOLI;63;F;335
2019;5601;Tuscia;L-36;Scienze Politiche e delle Relazioni Internazionali;VITERBO;56;M;335
2020;1502;Milano Politecnico;LM-33;Mechanical Engineering - Ingegneria Meccanica;MILANO;15;M;334
2020;102;Torino Politecnico;LM-33;Ingegneria Meccanica;TORINO;1;M;334
2020;5807;Roma Tre;L-19;Scienze dell'Educazione;ROMA;58;F;334
2021;6304;Napoli Benincasa;LM-85 bis;Scienze della Formazione Primaria;NAPOLI;63;F;333
2018;3701;Bologna;L-10;Lettere;BOLOGNA;37;F;333
2021;3601;Modena e Reggio Emilia;L-19;Scienze dell'Educazione;REGGIO NELL'EMILIA;35;F;332
2021;5801;Roma La Sapienza;L-11;Lingue, Culture, Letterature, Traduzione;ROMA;58;F;330
2021;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;M;330
2021;6301;Napoli Federico II;L-18;Economia Aziendale;NAPOLI;63;M;330
2019;5807;Roma Tre;LMG/01;Giurisprudenza;ROMA;58;F;330
2019;1502;Milano Politecnico;LM-33;Mechanical Engineering - Ingegneria Meccanica;MILANO;15;M;329
2021;5815;Roma UNICUSANO - telematica;LMG/01;Giurisprudenza;ROMA;58;F;329
2021;2701;Venezia Cà Foscari;L-11;Lingue, Culture e Società dell'Asia e dell'Africa Mediterranea;VENEZIA;27;F;329
2019;3701;Bologna;LMG/01;Giurisprudenza;BOLOGNA;37;M;328
2020;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;F;328
2019;5815;Roma UNICUSANO - telematica;L-18;Economia Aziendale e Management,;ROMA;58;M;327
2021;1502;Milano Politecnico;L-17;Progettazione dell’Architettura;MILANO;15;F;327
2021;101;Torino;L-20;Scienze della Comunicazione;TORINO;1;F;325
2020;6301;Napoli Federico II;L-10;Corso di Laurea in Lettere Moderne;NAPOLI;63;F;324
2020;1301;Novedrate e-Campus - telematica;L-22;Scienze delle Attivita' Motorie e Sportive;NOVEDRATE;13;M;324
2020;5801;Roma La Sapienza;L-18;Scienze Aziendali;ROMA;58;M;324
2018;1505;Milano IULM;L-20;Relazioni Pubbliche e Comunicazione d'Impresa;MILANO;15;F;324
2020;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;M;323
2021;1509;Milano Bicocca;L-24;Scienze e Tecniche Psicologiche;MILANO;15;F;323
2021;102;Torino Politecnico;LM-32;Ingegneria Informatica;TORINO;1;M;322
2019;1502;Milano Politecnico;L-09;Ingegneria Aerospaziale;MILANO;15;M;322
2018;1501;Milano;L-11;Lingue e Letterature Straniere;MILANO;15;F;321
2020;4801;Firenze;L-24;Scienze e Tecniche Psicologiche;FIRENZE;48;F;321
2020;5807;Roma Tre;LMG/01;Giurisprudenza;ROMA;58;F;320
2021;6301;Napoli Federico II;L-10;Corso di Laurea in Lettere Moderne;NAPOLI;63;F;320
2021;101;Torino;L-12;Scienze della Mediazione Linguistica;TORINO;1;F;319
2021;1501;Milano;L-11;Lingue e Letterature Straniere;MILANO;15;F;318
2019;1501;Milano;L-11;Lingue e Letterature Straniere;MILANO;15;F;318
2021;5815;Roma UNICUSANO - telematica;L-19;Scienze dell'Educazione e della Formazione;ROMA;58;F;317
2019;102;Torino Politecnico;LM-33;Ingegneria Meccanica;TORINO;1;M;316
2018;7201;Bari;LMG/01;Giurisprudenza;BARI;72;F;315
2020;4801;Firenze;L-19;Scienze dell'Educazione e della Formazione;FIRENZE;48;F;314
2020;3801;Ferrara;L-02;Biotecnologie;FERRARA;38;F;314
2019;6304;Napoli Benincasa;L-19;Scienze dell'Educazione;NAPOLI;63;F;314
2019;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;F;313
2018;6304;Napoli Benincasa;LM-85 bis;Scienze della Formazione Primaria;NAPOLI;63;F;312
2021;4801;Firenze;L-24;Scienze e Tecniche Psicologiche;FIRENZE;48;F;311
2020;5816;Roma San Raffaele - telematica;L-22;Scienze Motorie;ROMA;58;M;311
2021;5805;Roma LUISS;LMG/01;Giurisprudenza;ROMA;58;F;310
2020;3601;Modena e Reggio Emilia;L-19;Scienze dell'Educazione;REGGIO NELL'EMILIA;35;F;310
2020;3701;Bologna;L-20;Scienze della Comunicazione;BOLOGNA;37;F;309
2019;1505;Milano IULM;L-20;Relazioni Pubbliche e Comunicazione d'Impresa;MILANO;15;F;309
2021;1502;Milano Politecnico;L-09;Ingegneria Aerospaziale;MILANO;15;M;309
2021;6301;Napoli Federico II;LMG/01;Corso di Laurea Magistrale in Giurisprudenza;NAPOLI;63;M;308
2019;3701;Bologna;L-10;Lettere;BOLOGNA;37;F;308
2019;6301;Napoli Federico II;L-18;Economia Aziendale;NAPOLI;63;M;307
2020;5815;Roma UNICUSANO - telematica;LM-51;Psicologia;ROMA;58;F;307
2019;6301;Napoli Federico II;L-10;Corso di Laurea in Lettere Moderne;NAPOLI;63;F;306
2020;1509;Milano Bicocca;LM-85 bis;Scienze della Formazione Primaria;MILANO;15;F;306
2021;1601;Bergamo;L-18;Economia Aziendale;BERGAMO;16;F;304
2021;5807;Roma Tre;LMG/01;Giurisprudenza;ROMA;58;F;303
2021;1503;Milano Bocconi;L-18;Economia Aziendale e Management;MILANO;15;F;302
2020;102;Torino Politecnico;LM-31;Ingegneria Gestionale;TORINO;1;M;301
2018;2701;Venezia Cà Foscari;L-11;Lingue, Civilta e Scienze del Linguaggio;VENEZIA;27;F;300
2020;5805;Roma LUISS;LMG/01;Giurisprudenza;ROMA;58;F;299
2021;1501;Milano;L-01;Scienze dei Beni Culturali;MILANO;15;F;299
2020;6301;Napoli Federico II;L-18;Economia Aziendale;NAPOLI;63;M;299
2020;6601;L'Aquila;L-14;Operatore Giuridico d'Impresa;L'AQUILA;66;F;299
2020;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;M;298
2021;101;Torino;LMG/01;Giurisprudenza;TORINO;1;F;298
2021;4801;Firenze;L-19;Scienze dell'Educazione e della Formazione;FIRENZE;48;F;298
2020;2701;Venezia Cà Foscari;L-11;Lingue, Culture e Società dell'Asia e dell'Africa Mediterranea;VENEZIA;27;F;298
2019;5815;Roma UNICUSANO - telematica;LMG/01;Giurisprudenza;ROMA;58;M;298
2019;4101;Urbino;L-11;Lingue e Culture Straniere;URBINO;41;F;298
2018;102;Torino Politecnico;LM-33;Ingegneria Meccanica;TORINO;1;M;298
2019;5801;Roma La Sapienza;L-18;Scienze Aziendali;ROMA;58;M;297
2020;5202;Siena Stranieri;L-12;Mediazione Linguistica e Culturale;SIENA;52;F;296
2019;4801;Firenze;L-24;Scienze e Tecniche Psicologiche;FIRENZE;48;F;295
2018;1502;Milano Politecnico;L-08;Ingegneria Informatica;MILANO;15;M;295
2021;1502;Milano Politecnico;LM-32;Computer Science And Engineering - Ingegneria Informatica;MILANO;15;M;295
2021;1301;Novedrate e-Campus - telematica;L-14;Servizi Giuridici;NOVEDRATE;13;M;294
2018;5805;Roma LUISS;LMG/01;Giurisprudenza;ROMA;58;F;294
2020;5801;Roma La Sapienza;L-18;Scienze Aziendali;ROMA;58;F;294
2020;3701;Bologna;L-10;Lettere;BOLOGNA;37;F;294
2019;4801;Firenze;L-18;Economia Aziendale;FIRENZE;48;M;293
2018;6301;Napoli Federico II;L-09;Corso di Laurea in Ingegneria Meccanica;NAPOLI;63;M;293
2020;5815;Roma UNICUSANO - telematica;LMG/01;Giurisprudenza;ROMA;58;M;293
2020;6301;Napoli Federico II;LM-77;Economia Aziendale;NAPOLI;63;M;292
2018;6307;Napoli Pegaso - telematica;LM-26;Ingegneria della Sicurezza;NAPOLI;63;M;291
2020;1501;Milano;L-10;Lettere;MILANO;15;F;291
2021;1502;Milano Politecnico;LM-21;Biomedical Engineering - Ingegneria Biomedica;MILANO;15;F;290
2019;1501;Milano;L-01;Scienze dei Beni Culturali;MILANO;15;F;289
2021;1301;Novedrate e-Campus - telematica;L-22;Scienze delle Attivita' Motorie e Sportive;NOVEDRATE;13;F;288
2021;5814;Roma  Mercatorum - telematica;LM-77;Management;ROMA;58;M;288
2021;101;Torino;L-19;Scienze dell'Educazione;TORINO;1;F;287
2020;1501;Milano;L-01;Scienze dei Beni Culturali;MILANO;15;F;286
2020;8201;Palermo;LM-41;Medicina e Chirurgia;PALERMO;82;F;285
2021;4801;Firenze;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);FIRENZE;48;F;285
2021;102;Torino Politecnico;L-09;Ingegneria Aerospaziale;TORINO;1;M;284
