AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2020;9001;Sassari;LM-09;Biotecnologie Sanitarie Mediche e Veterinarie;SASSARI;90;M;7
2020;9001;Sassari;L-27;Chimica;SASSARI;90;M;7
2020;9001;Sassari;L-15;Scienze del Turismo Culturale;SASSARI;90;M;7
2020;9001;Sassari;L-26;Tecnologie Viticole, Enologiche, Alimentari;ORISTANO;95;F;7
2020;9001;Sassari;LM-61;Scienze dell'Alimentazione, Salute e Benessere dell'Uomo;SASSARI;90;F;7
2021;101;Torino;LM-38;Comunicazione Internazionale per il Turismo;TORINO;1;M;7
2021;101;Torino;LM-02;Archeologia e Storia Antica;TORINO;1;M;7
2021;101;Torino;LM-85 bis;Scienze della Formazione Primaria;TORINO;1;M;7
2021;1001;Genova;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);GENOVA;10;F;7
2021;1001;Genova;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);PIETRA LIGURE;9;F;7
2021;1001;Genova;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);GENOVA;10;F;7
2021;201;Piemonte Orientale;LM-14;Filologia Moderna, Classica e Comparata;VERCELLI;2;M;7
2021;201;Piemonte Orientale;LM-18;Informatica;ALESSANDRIA;6;M;7
2021;102;Torino Politecnico;L-09;Ingegneria Elettrica;TORINO;1;F;7
2021;1501;Milano;L-25;Produzione e Protezione delle Piante e dei Sistemi del Verde;MILANO;15;F;7
2021;1501;Milano;L-25;Viticoltura ed Enologia;MILANO;15;F;7
2021;1501;Milano;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);MILANO;15;M;7
2021;1501;Milano;L-16;Management Pubblico;MILANO;15;M;7
2021;1501;Milano;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;MILANO;15;M;7
2021;1501;Milano;LM-60;Biogeoscienze: Analisi degli Ecosistemi e Comunicazione delle Scienze;MILANO;15;M;7
2021;1502;Milano Politecnico;L-09;Ingegneria Meccanica;PIACENZA;33;F;7
2021;1503;Milano Bocconi;L-18;Economia e Management Internazionale;MILANO;15;M;7
2021;1501;Milano;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);MILANO;15;M;7
2021;1501;Milano;14/S;Chimica e Tecnologia Farmaceutiche;MILANO;15;F;7
2021;1501;Milano;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);CREMA;19;F;7
2021;1501;Milano;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);RHO;15;F;7
