ANNO_LAUREA;COD_Ateneo;NomeOperativo;NUMERO;NOME_CORSO;COMUNE;ID_PROVINCIA_ISTAT;ID_SESSO;laureati
2019;8201;Palermo;LM-81;Cooperazione e Sviluppo;PALERMO;82;F;9
2019;8201;Palermo;LM-38;Lingue Moderne e Traduzione per le Relazioni Internazionali;PALERMO;82;M;9
2019;8201;Palermo;LM-35;Ingegneria per l'Ambiente e il Territorio;PALERMO;82;F;9
2019;8301;Messina;L-20;Scienze dell'Informazione: Comunicazione Pubblica e Tecniche Giornalistiche;MESSINA;83;F;9
2019;8301;Messina;L-14;Consulente del Lavoro e Scienze dei Servizi Giuridici;MESSINA;83;M;9
2019;8201;Palermo;LM-82;Scienze Statistiche;PALERMO;82;M;9
2019;8301;Messina;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);MESSINA;83;F;9
2019;8301;Messina;LM-56;Scienze Economiche e Finanziarie;MESSINA;83;M;9
2019;8301;Messina;LM-54;Chimica;MESSINA;83;F;9
2019;8301;Messina;LM-78;Filosofia Contemporanea;MESSINA;83;F;9
2019;8301;Messina;LM-84;Scienze Storiche: Società, Culture e Istituzioni d'Europa;MESSINA;83;M;9
2019;8601;Enna KORE;DS1;Scienze Strategiche e della Sicurezza;ENNA;86;F;9
2019;8301;Messina;LM-19;Metodi e Linguaggi del Giornalismo;MESSINA;83;F;9
2019;8301;Messina;L-35;Matematica;MESSINA;83;M;9
2019;8201;Palermo;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);PALERMO;82;F;9
2019;8201;Palermo;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);PALERMO;82;F;9
2019;8201;Palermo;L-01;Beni Culturali;AGRIGENTO;84;M;9
2019;8201;Palermo;L-07;Ingegneria Civile ed Edile;PALERMO;82;F;9
2019;8201;Palermo;L-15;Scienze del Turismo;PALERMO;82;M;9
2019;7901;Catanzaro;LM-09;Biotecnologie Mediche, Veterinarie e Farmaceutiche;CATANZARO;79;F;9
2019;8001;Reggio Calabria;LM-04;Architettura - Restauro;REGGIO DI CALABRIA;80;M;9
2019;8001;Reggio Calabria;L-17;Scienze dell'Architettura;REGGIO DI CALABRIA;80;M;9
2019;7801;Calabria;L-35;Matematica;RENDE;78;M;9
2019;7801;Calabria;L-27;Chimica;RENDE;78;F;9
2019;7801;Calabria;L-27;Chimica;RENDE;78;M;9
2019;7801;Calabria;LM-78;Scienze Filosofiche;RENDE;78;M;9
2019;7801;Calabria;LM-22;Ingegneria Chimica;RENDE;78;M;9
