"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",8717,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8717,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",5309,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",32779,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",4427,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",893,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",76022,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",893,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",32779,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",4427,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",28996,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",3639,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",9736,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",76022,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",47138,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",28416,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",5309,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",8971,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",14777,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",10140,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",35392,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",39459,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",24713,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",9211,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",14777,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",39459,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",8810,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",42329,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",28996,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",8971,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",35392,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",9736,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",28416,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",7802,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",24713,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",42329,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",5699,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1863,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",7802,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",47138,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",5699,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",10140,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",8810,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",1863,,
